,madlad
13584,this is also a very important question .
13585,"until our time , the period of education and training fell and falls mainly into the"
13586,the importance of lifelong learning cannot be limited to the fields of education and training policy a
13587,their success also depends to a large extent on labour market policies and on the successful
13588,"lifelong learning begins where school education , the basic education , ends ."
13589,"and this is the first , and in my opinion , the greatest weakness of this"
13590,equal treatment of products of pension providers and pension plans is precisely contrary to the
13591,this shows that the Commission is primarily concerned with the creation of a European capital market
13592,I will give a few arguments for this : implementing back-to-back taxation
13593,this means that companies – large or small – no longer have to provide fifteen different systems for
13594,but downstream taxation means a loss of revenue for Member States .
13595,a tax consensus between the Member States is only possible if the EU clearly defines the
13596,that is why we are calling for two packages of directives to be drawn up :
13597,both of them can be used to attempt full European integration .
13598,"we know that , although the Western European Union has now been integrated into the European Union"
13599,this example shows that we are already involved here today .
13600,"building on this and involving the European Parliament in time for future missions , for example"
13601,"I must reject Amendment No 11 , but I would like to point out"
13602,what could the scenario look like for the next few years ?
13603,I hope that the European Union will ratify Kyoto after the successful conclusion of the negoti
13604,this means that our signature is legally binding .
13605,now you speak of an open attitude in future proceedings .
13606,"since I have been working here as an elected representative of the people , and before that"
13607,what do you really want ?
13608,what do you stand for today ?
13609,I learned in school that Parliament is supposed to control and the government is supposed to
13610,where do you rule ?
13611,I believe that what is emerging today is a positive sign of commonality and solidarity .
13612,"I also believe that Article 5 , which has already been quoted several times today , must"
13613,Kosovo has been mentioned many times today .
13614,I think that sometimes the lessons from Kosovo or Bosnia are too much in the spotlight .
13615,"Mr President , I would like to thank the Council Presidency for its positive attitude to the"
13616,what we need in Stockholm is not a summit of deregulation .
13617,we need a summit that makes it clear at what level everything is best regulated in the
13618,"the European Constitution is not the closing stone of the European construction , it must become its foundation"
13619,"the European Constitution should stipulate that Europe will not become a centralist superstate , but that"
13620,I am aware that the terms ‘ constitution ’ and ‘ federation ’ seem suspi
13621,but isn ’ t this often just a dispute over terms ?
13622,I am confident that we will be able to agree more easily on the substance of what
13623,"but then we have to discuss the contents , rather than argue about terms ."
13624,"however , I think the period envisaged is too long , five years – 20"
13625,"unfortunately , a constantly growing budget has also led to more irregularities and fraud ."
13626,"the internal market has also opened borders for fraudsters , while keeping them closed for"
13627,it is true that the regulations on the protection of the Community 's financial interests and
13628,"all these were good steps , but they are not enough ."
13629,the fraudsters are still a nose length or more ahead of us .
13630,the enlargement of the Community and the introduction of the euro may bring with it further dangers
13631,"twelve years later , ladies and gentlemen , we are still not at the point"
13632,we subsequently presented the results of the ICES to our Scientific and Technical
13633,"only then can one do one thing and can refrain from a moratorium , according to their"
13634,"that is the demand that we are making as a counter-request , and we hope"
13635,we also hope to obtain a majority of reason in the European Parliament for this and then to
13636,it is also urgently necessary to define the term ‘ on-call time ’ more clear
13637,"the Luxembourg ruling has clearly highlighted a weak point in this directive , and"
13638,"Madam President , the report describes very vividly the dangers of old and new terrorism"
13639,"if I may perhaps disagree on one point , the threat of terrorism has nothing to"
13640,"I differ from my British colleague on this point , who would prefer the Member States"
13641,I think it is a great step forward that the European Union is tackling this issue together
13642,"the annual report on equal opportunities for women and men in the Union has been , in a"
13643,"the report informs the public about progress made in the field of equality and it is ,"
13644,the President is also to be thanked for his correct attitude in the matter of the domestic
13645,"however , I tried to listen carefully to his speech yesterday and I must have missed"
13646,"in the context of the protection of the fundamental values of the EU , the President once again"
13647,"I have not heard anything , however , about the events in Spain , events which not only have"
13648,the third issue is my main point : disarmament .
13649,a lot has already been said about the submarines that are rusting in north-west
13650,"I would like to expressly commend the Commission for this , but I would suggest that the"
13651,"thankfully , the Commission organised a major disarmament conference in Brussels at the beginning"
13652,but it is also part of it that we discuss it in this House so that it becomes
13653,it is true that unemployment figures have fallen over the past year .
13654,"it is also true , however , that unemployment has not fallen in the Objective 1"
13655,"so we have no convergence , but further divergence , i.e. a deep"
13656,it is true that investment has increased in recent years .
13657,but it is also true that the majority of this has been made as rationalisation and non
13658,"the question of prisoners is important , and here I would like to follow up on what Olivier"
13659,"there are a great many displaced persons , prisoners in Serbia , whose fate we"
13660,"I would like to mention Ukshin Hoti , for whose release we have repeatedly"
13661,his family hopes that he is alive and we must continue to draw attention to the fate
13662,the report rightly condemns the ban on HADEP and the impending ban on the
13663,"however , there is no mention of the ban on political activity imposed on leading HADEP"
13664,why not ?
13665,we should have taken a clear position on this .
13666,"we have not shown the capacity in both directions to bring security to our citizens , a"
13667,that is all I have to say about the critical points .
13668,"there is no time left for the other points , but I believe you will have more time if"
13669,"it is not at all about hindering economic relations and cohesion , as is repeated"
13670,"we can never avoid them completely , but we can minimize them and thereby give the railway"
13671,"I myself , who also drafted a report on the opening up of international freight routes"
13672,"at the same time , however , I am also in favour , on behalf of my"
13673,the postponed liberalisation of the energy markets is an example of Europe ’ s continued
13674,"especially in a core area such as the internal market , I consider this to be extremely"
13675,"knowing that if the recommendation is adopted , difficult negotiations with the Council will"
13676,"however , the procedure should be different in the case of the regulation on specific hygiene requirements"
13677,"these annexes deal with detailed issues of hygiene management , and here the rapid"
13678,"we have therefore also taken certain areas – definition , approval of establishments , label"
13679,"however , I agree that the comitology procedure should apply to the other regulations ."
13680,"Mr President , our group strongly supports the brief resolution by the Liberal Group , which was"
13681,"solidarity with the Chechen people , who are still acutely threatened by genocid"
13682,"if there was talk of a factor of order earlier , I would like to say that the"
13683,I would like to make it quite clear that we must not let Mr Putin go through with this
13684,the Chechen people must therefore be protected from becoming the victims of a genocide
13685,"thirdly , the provision of air navigation services requires independent national supervisory authorities ,"
13686,we would prefer - as my fellow Member has pointed out - to have a European supervis
13687,"I would like to highlight one aspect , that of care ."
13688,in my country alone – Austria – 540 000 people are currently
13689,this number will increase to almost 800 000 by 201
13690,"at the same time , 84 % of all people in need of care – and this"
13691,"only 26 % need , receive or accept additional assistance ."
13692,"however , the number of family members who care for the elderly is decreasing due to"
13693,it will also be the case on 1 January 2002 that you will not
13694,"quality meat and meat marked as such will have this information on the label , which"
13695,the other meat may then no longer be marketed as quality meat .
13696,that is the way .
13697,but I hear relatively little from those who said before the war that we are on the peace
13698,"I am thinking , for example , of the Spanish Prime Minister , Mr Aznar ."
13699,"I hear a lot about Papandreou , thank God he is really very active here ."
13700,I hear a lot from Mr Solana and I would like everyone in this House and in Europe
13701,there will be no excuse and no justification for this war if we do not even bring
13702,"nevertheless , I believe that Mr Napolitano has presented a very good report under the"
13703,I also regret that we have the feeling that the so-called compromise proposals cannot
13704,the Council 's behaviour also contradicts the decisions taken in Barcelona .
13705,the highlight of the Greek Presidency was undoubtedly – and you were able to build
13706,when we got off the bus – and I would like to expressly thank you for inviting
13707,"the fact that this was now completed , as it were , with the signing of the"
13708,"secondly , should this not apply in particular to imports from countries where nitrophene-con"
13709,"finally , I call on the Commission to ensure that the request in the Fifth Frame"
13710,this also means avoiding cross-subsidies within research institutions in the UK .
13711,the surest way to achieve this is to ensure that the institutions that clone human beings
13712,"Mr Kuhne , as rapporteur for SEM 2000 and decentralised management"
13713,in its debate on the 1998 budget discharge - the Council recommended dis
13714,"EU enlargement can only be the joint work of the EU , the Member States and their regions"
13715,the development of border regions is of particular importance in this context .
13716,"all stakeholders must step up their efforts , but they need the focused attention of the"
13717,the current EUR 245 million economic development programme for the border regions is not sufficient
13718,"the availability is tied to further outflows and inflows in the regions , and"
13719,"however , the EU budget is not affected ."
13720,if the Spanish Presidency of the Council cannot agree on a final outcome on direct agricultura
13721,those who thought that the Kurdish question had been solved with the arrest of Öcalan
13722,"on the contrary , tough officials are arrested or kidnapped , without any in"
13723,"in the EU , we agreed in the early 1990s to set only"
13724,"despite the sensitivity of the subject , there have been attempts , during the discussion"
13725,decisions of this importance are taken when the Treaties or the Constitutional Treaty are being
13726,"Mr President , I am sorry , but I have been asking for the floor from the very"
13727,two very specific points .
13728,"firstly , I wanted to vote in favour of Amendment No 24,"
13729,"secondly , I would like to say that there is a Rule of Procedure here ,"
13730,"this has been happening for years , and it cannot be pushed back and forth at"
13731,perhaps we should reiterate this to all our fellow Members .
13732,"the colleagues are supposed to work here until Friday , so that we can take care"
13733,"Geneva clearly showed how the complexity of negotiations – in this case , the"
13734,"on the one hand , there are , of course , the governments , and governments are"
13735,"in this case , however , this also includes a great many companies and the so-called"
13736,we must not forget that the Geneva summit almost burst .
13737,it was extremely difficult to bring the negotiations to a conclusion .
13738,anyone who reads the text and the compromise – which I can only recommend to everyone
13739,I suspect that it will be only in Tunis that we will see a document before us with which
13740,I could go on and on .
13741,cross-border workers need to be flexible to navigate the labyrinth of laws
13742,anyone looking for a job across a border in the European internal market also needs legal certainty
13743,"we , the Members from the border regions of the European Union , call on the Commission and"
13744,"we have achieved a lot , but there is still a lot to be done ."
13745,Mrs Oomen-Ruijten 's report highlights the legitimate demands of the
13746,the internal market must also be completed on the labour market if we are to shape Europe as
13747,Turkey is an important country .
13748,Turkey is even of particular strategic importance .
13749,but that does not mean that the European Union can change its internal character because of Turkey 's
13750,they cannot and will not do that !
13751,"it is absolutely correct that Turkey wants to join the EU , not the European Union to"
13752,Turkey will only be able to become a member when these accession conditions have been met in a
13753,"I do not know , and no one knows , whether the strategy we adopted in Helsinki"
13754,"but we have reached the point where , for the first time , Turkey has to present us with"
13755,"it will give us the opportunity to influence this programme , because it is a jointly agreed"
13756,a word on the issue of the Treaty amendment .
13757,the White Paper provides for a consultation period until March 2002 .
13758,final proposals are to be submitted another six months later .
13759,it seems to me somewhat absurd to receive proposals in the autumn of next year
13760,I do not think that your statement that you do not want to change the Treaty will be
13761,we have good answers to all these questions .
13762,migration movements will decrease overall thanks to enlargement .
13763,problems that may arise in the first years can be managed by intelligently designed transition
13764,we must help border regions to take advantage of their new opportunities and to overcome the new
13765,the Commission is already working on proposals in this regard .
13766,"secondly , I think it is very important to point out the cross-border language area ."
13767,"we always talk about the diversity of European culture , the diversity of languages that grow together"
13768,it is therefore essential that these books can be distributed across borders without any problems .
13769,"after all , all discharges must be published in the Official Journal ."
13770,"last night , the Committee on Budgetary Control underwent another reorganization ."
13771,all the amendments tabled for the plenary were to be examined .
13772,how this has to happen is nowhere explained .
13773,"we have therefore been pragmatic and , in the case of amendments that have been"
13774,one thing is quite clear – the plenary and the groups are the masters of the game
13775,"our committee can make proposals , but not dictate ."
13776,I believe that this new rule complicates the discharge procedure .
13777,it is important that the Commission informs Parliament annually of the guidelines and priorities it
13778,"together with Article 11 of this regulation , which provides for an annual reporting obliga"
13779,"Mr President , Commissioner , I would like to say that the European Union is a European Union of"
13780,I have just been to Sicily with a fisheries delegation and there too I
13781,"let me conclude by saying that , independently of this , we also need to talk to"
13782,"in this respect , we should proceed carefully , starting with the US , but not los"
13783,"what I also criticise is that the negotiations were not conducted at political level ,"
13784,this is also absolutely unacceptable .
13785,I believe it is time to move away from a policy that is containing conflicts and miti
13786,"it is time for democracy and the rule of law , protection of minorities and human rights not"
13787,"I think that the positive developments in Yugoslavia have really gone a long way ,"
13788,"secondly , the WTO must be accompanied by a parliamentary assembly ."
13789,"we notice that the pressure from the NGOs is increasing , that a political debate on globalization"
13790,"thirdly , we in Parliament must step up our activities to meet the challenges of a future-"
13791,"after all , about 20 % of our jobs in the European Union depend on this issue"
13792,"Mr Moscovici , it is a little bizarre that Heads of State or Government want"
13793,it is up to parliaments to proclaim fundamental rights and to anchor them as rights .
13794,but I believe that the governments and the European Council are well advised to consider Parliament'
13795,"we also want basic services , universal services and the fulfilment of public service and environmental obliga"
13796,the rapporteur has succeeded in highlighting both the improvements achieved since the 2
13797,I would like to focus on this in particular .
13798,the debate here at second reading of this proposal for a regulation will certainly make it clear that
13799,antibiotics as additives that have growth promoting effects in animal fat will now be bann
13800,I believe that this political decision is overdue because of the growing resistance to various antibiotics
13801,feed imported into the EU from third countries must of course comply with the requirements of this new
13802,today we welcome another individual measure .
13803,"we cannot , of course , see the issue of guarantees and the question of Croatia separately"
13804,we must again call on the military and the police to take an unambiguous stand on the
13805,there is no doubt whatsoever in our view that we recognise these democratic
13806,"this year , it was not just about Kosovo , East Timor and the earthquake in Turkey"
13807,we all know that enlargement to the east is also a matter .
13808,we all know that the decisions taken in Helsinki on Turkey and on enlargement to the east
13809,"we should therefore resort to serious negotiations in the area of the budget , and the"
13810,"in future , we will be paying much more attention to the fact that the budget is implement"
13811,"Mr President , I would just like to point out that , in my opinion , this House has"
13812,I urge you to have this legally checked .
13813,"we have clearly taken a decision which is at least contrary to the spirit , but probably"
13814,this could mean that tomorrow we have one-day sessions here and five-day session
13815,that cannot be the purpose of the compromise .
13816,"no one is helped by people in the new Länder , with more than 10"
13817,sixteen million citizens cannot and will not allow an extremist minority to stamp them with this
13818,"our citizens do not deserve this , and our youth in particular , who are for the"
13819,"therefore , subject to approval by the Council and Parliament respectively , the two programmes"
13820,"as stated in the Commission proposals , the rules of the guide and the procedures for"
13821,a limited number of NGO networks and platforms at European level with experience in combating discrimina
13822,as regards the measures in favour of mountain areas in the context of other Community policie
13823,"as you know , the European Union 's policy on State aid is based on Article"
13824,"at the same time , this article also lists the cases in which state aid can be"
13825,"these exceptions include regional aid , which is ‘ aid to promote the economic development of"
13826,certain other areas are also eligible for this exemption .
13827,I would therefore like to say very clearly once again that we fully recognise what
13828,"there is a considerable implementation deficit here , which the government has also recognized and which"
13829,"until then , the Member States will have to reconsider how and where requirements and improvements"
13830,the time limit set by the Commission - it says that a decision must be taken within three months
13831,recognition procedures for diplomas obtained in third countries must also be simplified .
13832,we must open up within the EU so that citizens have the opportunity to use their skills in all
13833,we must be clear about that .
13834,that is the issue at hand .
13835,what the Commission has presented here is actually quite shameful .
13836,I want to make this very clear .
13837,why do we need basic quotas ?
13838,do we really want to use quotas to do what we have been doing with milk for more
13839,I am already hearing from peripheral countries today that they are happy to be able to
13840,"no , that can 't be the case , of course !"
13841,the quotas belong to the European Union and must be returned to it .
13842,only the European Union has the right to redistribute them .
13843,"above all , the credibility factor is present , because just as each individual has"
13844,you should use this accordingly .
13845,"credibility , that it is able to give security guarantees for a State of Israel and"
13846,let me now turn to what I think is a positive aspect of this directive .
13847,"the purpose of the Directive is to promote cogeneration technology , which can contribute to"
13848,cogeneration is being raised to the European Union ’ s energy policy agenda .
13849,the directive will give us a cogeneration policy in the Union .
13850,"the definition of cogeneration is standardised in Europe , thus creating a uniform understanding"
13851,the determination of high-efficiency cogeneration shall follow a two-stage approach using
13852,"Mr President of the European Council , you are not considered to be a particular fan of the Community"
13853,"instead , they love cooperation between governments ."
13854,but that is exactly what we will get if we only emphasise intergovernmental
13855,then we come to the blockade .
13856,it is precisely the small countries that end up suffering because the large ones dominate
13857,one of the greatest obstacles for EU representatives to take an active role in peace efforts
13858,"it is incomprehensible , for example , why during the Swedish Presidency the Swedish Foreign"
13859,let me conclude by saying that the Belgian Government has announced that it intends to complete
13860,"with this commitment and the approval of my report by the House , which I am very"
13861,I believe that Parliament should not lose sight of the three objectives of a high
13862,when a Council Presidency says that we recognise this - as we heard from the Portuguese
13863,"I do not believe that the surplus situation in the dairy sector will improve , but rather"
13864,you can surely clarify it right in your admission .
13865,"in my view , there is no compelling market policy need for this , and that is"
13866,to explain this to the farmers at home would be a bit difficult for me .
13867,the best proof of this ' no ' is what we are providing with today 's
13868,we are responding with a parliamentary quick shot to a draft law in a Member State
13869,and what does this reaction look like ?
13870,"a single glance at the draft resolutions before us shows that the European Parliament , in"
13871,"that is right , but not enough !"
13872,we need legal certainty for ports and port companies .
13873,we need to know which financing of port infrastructure is not aid and does not need to
13874,we therefore need clear and binding guidelines .
13875,"if we measure these goals against reality , the extent of what still needs to be done"
13876,"the social function of agriculture , the general economic environment , the stability of international trade relations"
13877,"can it really be , Minister Moscovici , that governments are afraid to make rights"
13878,would the European Council and the member governments not admit to the world that they have considered
13879,would people not then be suspicious that the European Council and the governments of the
13880,that is the suspicion that is in the air !
13881,the answer to the first question is a clear yes .
13882,the proposal is in line with the regulation .
13883,the answer to the second question is not so easy .
13884,the intention of the agreement was to find a solution to the so-called whistle-
13885,we said that he should then be able to turn directly to OLAF .
13886,this possibility is now excluded in the proposal before us when it comes to Members of
13887,this is justified because the Protocol on Privileges and Immunities provides special protection for Member
13888,"this protection goes beyond , for example , the protection that members of the EU Commission enjoy under this"
13889,I would like to take this opportunity to express my satisfaction at the Commission 's swift response
13890,the decision to make EUR 30 million available for emergency reconstruction aid was made possible
13891,"in addition , the European Investment Bank will provide medium-term loans of up to EUR"
13892,"if we really want to achieve the objective of increasing road safety , we need a multiface"
13893,"of course , we need to make our vehicles safer , but that will only benefit us if"
13894,"those who operate in the transport sector , those who drive a vehicle , must be better train"
13895,"the establishment of a road safety agency , which was called for by a majority of the"
13896,the road transport sector differs from other transport sectors by the large number of active participants
13897,with the proposals of the Committee on Transport and Tourism and the free movement of Euro 3
13898,the burden of transit traffic has reached unacceptable proportions for people and the environment in
13899,"if the committee ’ s proposals become reality , Austria ’ s citizens will literally be drive"
13900,"I therefore ask you to support Amendment 19 , which has been tabled"
13901,I repeat my old criticism that abuse is systemic because of the structures .
13902,I appeal to the Member States to make greater efforts to put an end to this abuse
13903,cooperation with other Member States and stricter scrutiny in the own country are absolutely
13904,the European Union has always been a pioneer in stopping the production and use of substances that
13905,only in this way will we be able to exert pressure on other countries at international conferences
13906,"we - that is to say , all those who will be attending the ACP-EU"
13907,"we will also have to ask South Africa , above all , to do justice to its important role"
13908,"unfortunately , despite the economic difficulties , we will also have to resort to strength"
13909,but let me say again that if the African neighbours were to help in jointly
13910,this agricultural policy is not only harming small and medium-sized producers in
13911,they are played against each other .
13912,this must be said and seen clearly here .
13913,"when I see , Mr Armado , that in a country like Brazil , with an area of"
13914,these are just examples of the Commission 's tasks .
13915,it is of course not acceptable that we should wait until after enlargement to negotiate
13916,"perhaps preparations have to be made now , and this requires staff ."
13917,the Council has authorised itself 236 new posts in preparation for enlargement .
13918,"in the Commission , however , he has even called into question and cut the funding of existi"
13919,"under these circumstances , it is extremely difficult for someone like me , who tries"
13920,I therefore ask you to call up my question again .
13921,"however , from a German perspective in particular , it represents an improvement in the situation for those"
13922,and I agree with you for the following reasons :
13923,"while flags are raised against right-wing extremism in Germany almost daily , it is"
13924,he fears that “ six-digit numbers ” of migrants will come to Germany
13925,he is thus acting as a verbal door opener for those who want to force this
13926,this not only turns the commitment against right-wing extremism into a hypocritical
13927,"secondly , I would like to ask the Commission , the President of the Commission and Commissioner Ver"
13928,how can we bridge the time between the examination of the fulfilment of the criteri
13929,what forms of cooperation can we offer here that are in the interests of both Turkey
13930,I think that 2003 is a very important year in this respect .
13931,"we should work together – the Council , the Commission and Parliament – on how we can achieve a"
13932,we had a special situation with regard to humanitarian aid .
13933,you mentioned it .
13934,"the resources were cut in the course of the 2003 budgetary procedure , also"
13935,the budgetary authority has approved EUR 79 million for the management of humanitarian task
13936,we have requested an additional EUR 25 million for southern Africa and tomorrow we will
13937,"I hope that we will reach agreement on this , too , because it is very important to provide"
13938,I think that is in the interests of all involved .
13939,"we have set very , very strict rules for this ."
13940,the rules that have been laid down in committee and that the Council will accept and Parliament will
13941,"Mr President , Commissioner , ladies and gentlemen , I would like to begin by emphasi"
13942,Slovakia is an example of how political will enabled a country in a difficult starting position – it
13943,what is particularly impressive is that Slovakia has successfully stabilized the economy in recent years
13944,"especially from the point of view of a member of the Committee on Budgetary Control , the"
13945,"this right , which is crucial for budgetary control , is laid down in Article 1"
13946,it is an expression of parliamentary control over the administration and must not be restricted .
13947,"however , there have been attempts to restrict this right in the past , such as the"
13948,this is not the least reason why Parliament has decided to amend this framework agreement as soon
13949,I take this opportunity to remind the President of his responsibility in this regard .
13950,"in the future , the dealer will be able to trade several brands ."
13951,"in future , the dealer will not be obliged to offer service ."
13952,"in future , there will be more independent workshops , independent repairers , who will be able"
13953,"this is a plus in future , which will be organised by this block exemption"
13954,the ignoring and disrespectful answers to questions we have received from former and current
13955,I would like to emphasise that the constructive cooperation with Commissioners Liikanen
13956,I am therefore confident that the Commission will help us to actually take the concrete steps we
13957,"I hope , in any case , that the Council and the Commission will move forward on these points"
13958,the same applies to non-governmental organisations and the budget line for health protection
13959,the individual issues must be approached and discussed in an open and transparent manner .
13960,the Convention - and I have said at every budgetary debate that I will not stop saying that
13961,and we must ensure that the citizen can be given transparency and clarity as regard
13962,"Mr President , the European Union has a special responsibility in combating racism and racial"
13963,the action programme adopted in Durban on 8 September is an important message and a contribu
13964,it is to be welcomed that this conference was able to agree on a joint declaration .
13965,the Commission 's proposal to allow financial corrections to be made to a greater extent
13966,we also stand with the European Central Bank and wish President Jean-Claude Trichet every
13967,"now we have heard adventurous reasons , especially from a finance minister , that this de"
13968,this is a completely wrong argument .
13969,today ’ s debts are tomorrow ’ s taxes .
13970,tomorrow you take away from people what you make today in debt .
13971,the Commission has therefore logically asked the French authorities for additional information .
13972,"as the Commission does not yet have all this additional information , it is not in a position to"
13973,"I would like to raise a second issue , which I also articulated very clearly in"
13974,it is the question of the “ Europe of the citizens ” .
13975,"we fought for this , and I am very pleased that it was possible to reach an"
13976,it is certainly a programme that can be extended .
13977,but I am now hearing that there is a solution for the Carrefours and Euro-
13978,"I find it somewhat worrying , even after talking with the Euro-Info Centre in"
13979,perhaps the Commission could look internally in its services to see where the error lies – I
13980,I consider the possibility of enriching our daily diet with additional vitamins and minerals
13981,"when we talk about dietary supplements today , we mainly mean vitamins , minerals"
13982,the directive on food supplements aims to align the legislation in the Member States .
13983,producers will thus have easier access to all markets under uniform production and marketing
13984,perhaps the main point – and that is why it is so important to us – is that
13985,it is about the application of an extraterritorial law .
13986,"in this respect , we have the appropriate political support for the Commission ’ s and the"
13987,the strong will for integration at the time did not make us think about who and how much
13988,it was the common will that united all people because they wanted freedom to be created for them again
13989,"those who were reluctant , ladies and gentlemen , would not have achieved"
13990,it is a pity that today our actions are not determined by these political visions -
13991,"the most important instrument that we can provide to the United Nations , and we have provided it ,"
13992,"if direct talks have ever taken place , it is only because Cyprus has the prospect of ac"
13993,"I therefore believe that the most important means of pressure we have on Turkey , and which we"
13994,"if the state wants to have a comprehensive network of citizens ' assistance , it should"
13995,that would be a real overstatement of universal service .
13996,"so , guaranteeing universal service , yes , and to achieve that , we have to exclude"
13997,the big dispute in the committee and here in the House is :
13998,how large must the area be that we exclude from competition in order to enable a reason
13999,I think that the compromise we have now reached on 150g letters and
14000,that is why the majority of my group will support this compromise .
14001,I would consider it a disastrous path – and our group would do the same – if
14002,"imagine if there were , as is emerging these days – I do not want to talk"
14003,it would be a horror vision if Europe were to present itself in this way .
14004,that is why we must act within the Community framework .
14005,everything we do now must be done together .
14006,I am pleased that we have succeeded in shifting the focus of the report in the
14007,I would like to thank Maria Martens for her commitment to this .
14008,"however , I would have liked – and perhaps it will still be possible tomorrow –"
14009,the International Criminal Court is now being set up for the four most serious crimes : genocide
14010,"so far , the United Nations has allowed special courts , for example the ad hoc criminal tribunal"
14011,"in future , the International Criminal Court will send a clear signal that each of these crimes will"
14012,war criminals can no longer hide behind the borders of sovereignty .
14013,"in this connection , however , I would like to emphasize that the Office of the High"
14014,the Commission believes that the financial and procedural rules of the High Representative have been improve
14015,"this concerns , above all , rules for the recruitment of staff and the budgetary"
14016,"Parliament , as the representative of the European public , has the duty to monitor compliance"
14017,"in one or two years , we will be able to take stock of whether this regulation is really"
14018,"however , the difficult start also means , and we should not fool ourselves , that the"
14019,Mr Wynn asked me a question about the figure of EUR 5.5 billion .
14020,"at the OSCE Summit in Istanbul , the President of the Commission , Mr Prodi , address"
14021,"you , Parliament , have now asked the Commission to present concrete estimates for the region and for"
14022,we are working on that .
14023,"I would ask you not to make any pre-determination now , but to stick to the"
14024,"the Council has insisted on committing a clear breach of law , despite the warning"
14025,I have a very specific question .
14026,you said that you want to carry out a feasibility study on the IT system .
14027,"now we agree that we are under time pressure on this issue , as far as the modernisation"
14028,"in my reflection , I have come to the conclusion that , on the basis of plausi"
14029,the Commission has set sustainable development as its third priority .
14030,"this also concerns many individual budgets and programmes - the energy programme , the research programme"
14031,"for me , debt reduction means taking responsibility for the future ."
14032,"for me , debt reduction and annual deficit reduction means a radical change of policy ,"
14033,the Stability and Growth Pact is therefore a question of responsibility for the future
14034,on the other hand - let us be honest - it is a truly successful binding frame
14035,I therefore believe that we have taken a first important step towards greater competition and greater
14036,I would ask the House to approve the outcome of the negotiations .
14037,I would just like to remind you that we currently have 80 cases pending in
14038,that cannot be the way forward .
14039,"in my view , the issue with the authorisation directive is that harmonisation is very"
14040,it must be possible for the authorities to help you enforce these rights if you pay for
14041,the open interface is of particular importance in the access policy .
14042,"in future , we should not underestimate the independence of alternative operators , especially from"
14043,it is particularly important for small and medium-sized enterprises that dynamic development
14044,third comment : fusion .
14045,"we are always arguing about this , and I also respect the fact that there are different opinion"
14046,the only thing I cannot accept is that the results of this research are so far away .
14047,"we also encourage young people to take care of their old age at an early age , even though"
14048,"in the same way , this is a precaution ."
14049,"whether a fusion power plant will be built later or not , our descendants will decide"
14050,but we should give them that option .
14051,the relationship between the EU as donor and the Office of the High Representative and the Organisation
14052,this relationship is indeed not easy .
14053,the Commission is criticised for some of the administrative shortcomings which should be addressed to
14054,it is not about denying responsibility .
14055,"it only shows that there are sometimes difficulties in cooperation , which are partly structural"
14056,"as in the 1999 annual report , the Court of Auditors now proposes"
14057,but how can the Commission support international organisations with a purely political mandate if they have
14058,further discussions and regulations are necessary here .
14059,"that is why my group has also decided to call for an update of the investigation , and"
14060,the political responsibility of this House requires that we draw the right conclusions for the future
14061,we have made good progress with our work .
14062,I am confident that I will be presenting the proposals to the Commission by the end
14063,"normally , the draft would have been postponed by only one week , but for"
14064,we regret that it has not been possible to establish a separate legal basis for support for border
14065,"on the other hand , we welcome the focus on giving greater consideration to the connection"
14066,I would like to mention one more point :
14067,I would really like to point out that the common agricultural policy certainly already takes account
14068,what I do not think is necessarily related to the follow-up of BSE is the
14069,"as we know , the BSE crisis was triggered by the improper production of"
14070,the issue of recycling should be dealt with in another report .
14071,"Mr President , ladies and gentlemen , I am very happy ."
14072,the rapporteur has produced a very comprehensive report which shows in an impressive and multi
14073,"therefore , it is imperative that poverty reduction be linked to the fight against disease"
14074,"we must pay particular attention to the most vulnerable groups of the population , such as children -"
14075,we have failed almost completely in the crucial areas where we need majority decisions to keep the
14076,in some areas there has even been a step backwards .
14077,"we must recognise that , in the democratic field , we have not maintained the"
14078,"wherever majority decisions are used in legislation , codecision is used ."
14079,"we have four essential areas , including structural policy , including Article 133 and two"
14080,that means that the democratic deficit has grown again .
14081,"moreover , the number of seats in the European Parliament is being determined against our wish"
14082,I think this is an unbearable state .
14083,in view of the fact that there are some 10 million unemployed in the European
14084,to talk about temporary employment as an atypical or even unworthy form of work would
14085,"temporary work can help newcomers to the job to orient themselves for the future ,"
14086,macroeconomic dialogue is a constructive way of addressing the pressing problems .
14087,I therefore call on all those involved to take a responsible part in this macroeconomic dialogue
14088,we need to break the chains of growth and start-up .
14089,we must counter the mood of pessimism and conscious fear-mongering with a new
14090,"however , we have limited ourselves to doing this , and I would urge the Committee"
14091,the Committee on Budgets will have to decide whether it is on the side of the Council or
14092,"the Committee on Legal Affairs and the Internal Market had an easy task , because from a legal"
14093,I would also like to expressly praise the logistical quality of the draft directive
14094,"with the new Article 63 of the EU Treaty , it is now the Community'"
14095,"but where there are misconducts , even criminal acts , we must confront them consiste"
14096,the Commission and the European Parliament have a common task of promoting and strengthening confidence in
14097,"Madam President , Mr President-designate of the Commission and Commission-designate !"
14098,the Group of the European People 's Party and European Democrats will make its decision this evening
14099,our group will take this decision with a great sense of responsibility for a Europe capable of action
14100,we must continue to build the European Union and strengthen it so that people can accept it as
14101,"let me also raise a question on the expenditure side of the Community budget , which"
14102,is there not a strong case for the costs of joint Petersberg tasks to be borne
14103,"I am expressing these doubts so that the Commission can , in its revision , clear up"
14104,I have already said that the Commission expects complaints about cross-subsidies and has
